Category,Date,Forecasted_Demand,Type
Coils,2023-08-01,1166.0,Test
Coils,2023-09-01,1174.0,Test
Coils,2023-10-01,1182.0,Test
Coils,2023-11-01,1189.0,Test
Coils,2023-12-01,1197.0,Test
Coils,2024-01-01,1205.0,Future
Coils,2024-02-01,1212.0,Future
Coils,2024-03-01,1220.0,Future
Fasteners,2023-08-01,564.0,Test
Fasteners,2023-09-01,566.0,Test
Fasteners,2023-10-01,567.0,Test
Fasteners,2023-11-01,568.0,Test
Fasteners,2023-12-01,570.0,Test
Fasteners,2024-01-01,571.0,Future
Fasteners,2024-02-01,573.0,Future
Fasteners,2024-03-01,574.0,Future
Fittings,2023-08-01,881.0,Test
Fittings,2023-09-01,880.0,Test
Fittings,2023-10-01,880.0,Test
Fittings,2023-11-01,879.0,Test
Fittings,2023-12-01,878.0,Test
Fittings,2024-01-01,877.0,Future
Fittings,2024-02-01,876.0,Future
Fittings,2024-03-01,876.0,Future
Pipes,2023-08-01,1819.0,Test
Pipes,2023-09-01,1831.0,Test
Pipes,2023-10-01,1843.0,Test
Pipes,2023-11-01,1854.0,Test
Pipes,2023-12-01,1866.0,Test
Pipes,2024-01-01,1878.0,Future
Pipes,2024-02-01,1889.0,Future
Pipes,2024-03-01,1901.0,Future
Sheets,2023-08-01,1439.0,Test
Sheets,2023-09-01,1414.0,Test
Sheets,2023-10-01,1389.0,Test
Sheets,2023-11-01,1364.0,Test
Sheets,2023-12-01,1339.0,Test
Sheets,2024-01-01,1314.0,Future
Sheets,2024-02-01,1289.0,Future
Sheets,2024-03-01,1264.0,Future
