SKU_ID,Product_Name,Category,Opening_Stock,Closing_Stock,Reorder_Point,Safety_Stock,Unit_Cost,Warehouse_Location,Date
SKU_FAS_0050,Fastener Type-E,Fasteners,829,891,230,92,280,Pune,2022-03-01
SKU_COI_0037,Coil Type-J,Coils,355,343,273,109,3102,Mumbai_Central,2022-02-01
SKU_PIP_0005,Pipe Type-E,Pipes,384,12,151,60,1383,Mumbai_Central,2022-06-01
SKU_SHE_0019,Sheet Type-D,Sheets,425,462,446,178,2051,Pune,2022-08-01
SKU_PIP_0003,Pipe Type-C,Pipes,678,605,448,179,1152,Pune,2022-11-01
SKU_FAS_0047,Fastener Type-B,Fasteners,983,904,427,170,158,Mumbai_Central,2023-05-01
SKU_PIP_0014,Pipe Type-N,Pipes,977,887,320,128,1903,Mumbai_Central,2022-12-01
SKU_FIT_0041,Fitting Type-D,Fittings,875,833,421,168,787,Pune,2023-03-01
SKU_SHE_0018,Sheet Type-C,Sheets,940,825,200,80,2184,Thane,2022-04-01
SKU_COI_0036,Coil Type-I,Coils,252,273,135,54,2836,Pune,2023-04-01
SKU_COI_0035,Coil Type-H,Coils,354,208,173,69,2482,Mumbai_Central,2022-05-01
SKU_PIP_0002,Pipe Type-B,Pipes,208,240,112,44,1035,Thane,2023-09-01
SKU_PIP_0003,Pipe Type-C,Pipes,360,227,448,179,1152,Mumbai_Central,2022-02-01
SKU_COI_0036,Coil Type-I,Coils,365,372,135,54,2836,Thane,2022-10-01
SKU_PIP_0011,Pipe Type-K,Pipes,288,355,124,49,1199,Navi_Mumbai,2022-01-01
SKU_PIP_0008,Pipe Type-H,Pipes,533,469,420,168,1595,Pune,2022-03-01
SKU_SHE_0022,Sheet Type-G,Sheets,775,70,227,90,1646,Thane,2023-08-01
SKU_COI_0032,Coil Type-E,Coils,907,828,457,182,2186,Navi_Mumbai,2023-10-01
SKU_COI_0035,Coil Type-H,Coils,401,392,173,69,2482,Thane,2023-11-01
SKU_SHE_0018,Sheet Type-C,Sheets,372,240,200,80,2184,Thane,2023-04-01
SKU_SHE_0016,Sheet Type-A,Sheets,761,627,390,156,2579,Pune,2023-09-01
SKU_SHE_0026,Sheet Type-K,Sheets,1077,1097,166,66,2046,Thane,2022-10-01
SKU_COI_0029,Coil Type-B,Coils,257,210,254,101,3070,Mumbai_Central,2022-05-01
SKU_PIP_0015,Pipe Type-O,Pipes,268,157,405,162,1216,Pune,2022-09-01
SKU_PIP_0005,Pipe Type-E,Pipes,390,604,151,60,1383,Mumbai_Central,2023-02-01
SKU_PIP_0012,Pipe Type-L,Pipes,432,788,197,78,1356,Mumbai_Central,2023-02-01
SKU_COI_0029,Coil Type-B,Coils,436,438,254,101,3070,Navi_Mumbai,2022-06-01
SKU_SHE_0024,Sheet Type-I,Sheets,195,107,245,98,2249,Mumbai_Central,2023-07-01
SKU_PIP_0015,Pipe Type-O,Pipes,1284,1224,405,162,1216,Pune,2023-11-01
SKU_SHE_0025,Sheet Type-J,Sheets,969,952,225,90,1830,Pune,2023-11-01
SKU_SHE_0017,Sheet Type-B,Sheets,805,670,257,102,2017,Navi_Mumbai,2022-07-01
SKU_FIT_0038,Fitting Type-A,Fittings,567,660,109,43,859,Navi_Mumbai,2022-06-01
SKU_COI_0029,Coil Type-B,Coils,505,334,254,101,3070,Navi_Mumbai,2023-09-01
SKU_COI_0031,Coil Type-D,Coils,511,1,113,45,2014,Pune,2022-08-01
SKU_SHE_0016,Sheet Type-A,Sheets,550,457,390,156,2579,Thane,2022-03-01
SKU_SHE_0025,Sheet Type-J,Sheets,925,895,225,90,1830,Mumbai_Central,2023-09-01
SKU_SHE_0018,Sheet Type-C,Sheets,593,420,200,80,2184,Thane,2023-08-01
SKU_PIP_0003,Pipe Type-C,Pipes,319,262,448,179,1152,Navi_Mumbai,2023-11-01
