Month,Category,Demand
2022-01-01,Coils,1456
2022-02-01,Coils,631
2022-03-01,Coils,1185
2022-04-01,Coils,727
2022-05-01,Coils,924
2022-06-01,Coils,1048
2022-07-01,Coils,667
2022-08-01,Coils,574
2022-09-01,Coils,856
2022-10-01,Coils,1759
2022-11-01,Coils,1113
2022-12-01,Coils,2441
2023-01-01,Coils,1101
2023-02-01,Coils,726
2023-03-01,Coils,1534
2023-04-01,Coils,1541
2023-05-01,Coils,930
2023-06-01,Coils,1054
2023-07-01,Coils,437
2023-08-01,Coils,1232
2023-09-01,Coils,1082
2023-10-01,Coils,1696
2023-11-01,Coils,617
2023-12-01,Coils,816
2022-01-01,Fasteners,651
2022-02-01,Fasteners,185
2022-03-01,Fasteners,708
2022-04-01,Fasteners,751
2022-05-01,Fasteners,71
2022-06-01,Fasteners,311
2022-07-01,Fasteners,493
2022-08-01,Fasteners,628
2022-10-01,Fasteners,1002
2022-11-01,Fasteners,1004
2022-12-01,Fasteners,711
2023-01-01,Fasteners,524
2023-02-01,Fasteners,478
2023-04-01,Fasteners,382
2023-05-01,Fasteners,636
2023-06-01,Fasteners,311
2023-07-01,Fasteners,516
2023-08-01,Fasteners,326
2023-09-01,Fasteners,249
2023-10-01,Fasteners,1643
2023-11-01,Fasteners,818
2023-12-01,Fasteners,1525
2022-01-01,Fittings,805
2022-02-01,Fittings,622
2022-03-01,Fittings,1135
2022-04-01,Fittings,417
2022-05-01,Fittings,1435
2022-06-01,Fittings,568
2022-07-01,Fittings,1462
2022-08-01,Fittings,1189
2022-09-01,Fittings,532
2022-10-01,Fittings,627
2022-11-01,Fittings,949
2022-12-01,Fittings,978
2023-01-01,Fittings,981
2023-02-01,Fittings,645
2023-03-01,Fittings,954
2023-04-01,Fittings,1413
2023-05-01,Fittings,837
2023-06-01,Fittings,718
2023-07-01,Fittings,630
2023-08-01,Fittings,575
2023-09-01,Fittings,481
2023-10-01,Fittings,1162
2023-11-01,Fittings,696
2023-12-01,Fittings,599
2022-01-01,Pipes,2763
2022-02-01,Pipes,1505
2022-03-01,Pipes,1067
2022-04-01,Pipes,1124
2022-05-01,Pipes,2078
2022-06-01,Pipes,620
2022-07-01,Pipes,1412
2022-08-01,Pipes,958
2022-09-01,Pipes,1585
2022-10-01,Pipes,3441
2022-11-01,Pipes,1032
2022-12-01,Pipes,1919
2023-01-01,Pipes,2302
2023-02-01,Pipes,1843
2023-03-01,Pipes,2500
2023-04-01,Pipes,1327
2023-05-01,Pipes,1866
2023-06-01,Pipes,1363
2023-07-01,Pipes,1645
2023-08-01,Pipes,1141
2023-09-01,Pipes,3006
2023-10-01,Pipes,2156
2023-11-01,Pipes,3129
2023-12-01,Pipes,1954
2022-01-01,Sheets,1821
2022-02-01,Sheets,329
2022-03-01,Sheets,2652
2022-04-01,Sheets,2236
2022-05-01,Sheets,2236
2022-06-01,Sheets,1116
2022-07-01,Sheets,1344
2022-08-01,Sheets,1848
2022-09-01,Sheets,1277
2022-10-01,Sheets,2772
2022-11-01,Sheets,1986
2022-12-01,Sheets,2231
2023-01-01,Sheets,1329
2023-02-01,Sheets,2469
2023-03-01,Sheets,2372
2023-04-01,Sheets,1710
2023-05-01,Sheets,442
2023-06-01,Sheets,1224
2023-07-01,Sheets,679
2023-08-01,Sheets,1019
2023-09-01,Sheets,1301
2023-10-01,Sheets,1707
2023-11-01,Sheets,2323
2023-12-01,Sheets,1077
