PO_ID,Vendor_ID,SKU_ID,PO_Date,PO_Quantity,PO_Value,Status
PO_000001,VEN_0190,SKU_PIP_0005,2022-08-19,683,1010238.96,Delayed
PO_000002,VEN_0099,SKU_FAS_0049,2023-07-01,433,85751.32,Closed
PO_000003,VEN_0177,SKU_PIP_0001,2023-06-25,400,413183.55,Closed
PO_000004,VEN_0294,SKU_SHE_0024,2022-07-02,333,729792.81,Delayed
PO_000005,VEN_0067,SKU_COI_0032,2022-06-03,903,1888299.42,Closed
PO_000006,VEN_0028,SKU_FIT_0038,2023-08-30,869,752962.43,Delayed
PO_000007,VEN_0255,SKU_PIP_0006,2023-10-06,393,756619.32,Closed
PO_000008,VEN_0097,SKU_PIP_0002,2023-11-18,503,521470.16,Closed
PO_000009,VEN_0040,SKU_FIT_0044,2022-01-13,511,509681.62,Closed
PO_000010,VEN_0025,SKU_COI_0030,2023-04-23,265,713088.5,Delayed
PO_000011,VEN_0175,SKU_SHE_0027,2023-09-20,601,964262.43,Closed
PO_000012,VEN_0248,SKU_FIT_0039,2023-01-18,257,186596.93,Closed
PO_000013,VEN_0069,SKU_COI_0030,2023-09-19,619,1627323.42,Closed
PO_000014,VEN_0065,SKU_COI_0028,2022-10-03,526,1224659.5,Closed
PO_000015,VEN_0155,SKU_PIP_0013,2023-08-13,712,1240103.09,Closed
PO_000016,VEN_0282,SKU_PIP_0013,2022-07-26,857,1485026.74,Closed
PO_000017,VEN_0191,SKU_SHE_0024,2022-06-01,649,1360011.95,Closed
PO_000018,VEN_0267,SKU_FIT_0038,2023-11-26,948,773065.56,Closed
PO_000019,VEN_0231,SKU_COI_0028,2022-08-05,486,1294835.22,Closed
PO_000020,VEN_0242,SKU_FAS_0046,2022-04-24,918,178334.43,Delayed
PO_000021,VEN_0062,SKU_SHE_0022,2022-12-16,954,1462682.34,Closed
PO_000022,VEN_0111,SKU_SHE_0027,2022-09-30,579,901531.95,Closed
PO_000023,VEN_0186,SKU_COI_0030,2022-04-30,260,694574.4,Closed
PO_000024,VEN_0184,SKU_SHE_0016,2022-12-10,386,1011088.4,Delayed
PO_000025,VEN_0082,SKU_FAS_0049,2022-06-08,702,140919.48,Closed
PO_000026,VEN_0205,SKU_FIT_0041,2022-05-17,980,741765.79,Closed
PO_000027,VEN_0232,SKU_FIT_0039,2023-01-01,530,398432.8,Closed
PO_000028,VEN_0223,SKU_COI_0036,2022-02-16,612,1890143.64,Closed
PO_000029,VEN_0193,SKU_PIP_0004,2022-10-07,639,664381.08,Closed
PO_000030,VEN_0014,SKU_PIP_0013,2023-01-31,363,573140.7,Delayed
PO_000031,VEN_0149,SKU_SHE_0023,2023-02-20,619,892942.39,Closed
PO_000032,VEN_0104,SKU_FIT_0041,2023-10-20,134,107611.49,Closed
PO_000033,VEN_0199,SKU_COI_0029,2023-09-06,241,668370.12,Delayed
PO_000034,VEN_0057,SKU_COI_0032,2022-04-16,978,2256764.34,Closed
PO_000035,VEN_0018,SKU_PIP_0013,2023-09-12,308,486107.16,Closed
PO_000036,VEN_0034,SKU_PIP_0003,2023-06-13,177,186300.87,Delayed
PO_000037,VEN_0072,SKU_SHE_0023,2023-01-02,395,545601.65,Closed
PO_000038,VEN_0145,SKU_COI_0028,2023-11-21,957,2238376.08,Closed
PO_000039,VEN_0155,SKU_SHE_0016,2023-05-21,877,2112454.06,Closed
PO_000040,VEN_0212,SKU_PIP_0001,2022-10-10,294,319966.06,Delayed
PO_000041,VEN_0198,SKU_SHE_0018,2023-06-08,444,928919.04,Closed
PO_000042,VEN_0204,SKU_FIT_0040,2022-10-06,854,849977.66,Delayed
PO_000043,VEN_0274,SKU_FAS_0050,2022-08-03,440,131639.2,Closed
PO_000044,VEN_0039,SKU_SHE_0025,2022-12-28,275,533194.75,Closed
PO_000045,VEN_0103,SKU_FAS_0047,2023-04-01,413,68767.1,Closed
PO_000046,VEN_0278,SKU_PIP_0003,2023-09-03,137,155288.47,Delayed
PO_000047,VEN_0084,SKU_SHE_0022,2022-12-28,109,195665.9,Delayed
PO_000048,VEN_0294,SKU_PIP_0010,2022-10-25,904,1311092.81,Delayed
PO_000049,VEN_0180,SKU_FIT_0040,2022-04-18,944,887539.36,Closed
PO_000050,VEN_0239,SKU_SHE_0021,2022-09-30,972,1437170.04,Closed
PO_000051,VEN_0264,SKU_PIP_0011,2023-05-22,430,490879.4,Closed
PO_000052,VEN_0274,SKU_SHE_0022,2023-08-18,157,247171.67,Closed
PO_000053,VEN_0241,SKU_COI_0031,2022-07-23,882,1864777.32,Delayed
PO_000054,VEN_0066,SKU_SHE_0019,2023-04-03,194,436934.96,Closed
PO_000055,VEN_0193,SKU_PIP_0004,2022-10-07,639,664381.08,Closed
PO_000056,VEN_0003,SKU_FIT_0042,2023-08-21,954,805719.78,Closed
PO_000057,VEN_0052,SKU_FIT_0040,2022-07-26,739,688666.71,Delayed
PO_000058,VEN_0018,SKU_FIT_0041,2023-12-11,242,193891.82,Closed
PO_000059,VEN_0145,SKU_SHE_0024,2022-06-13,851,2072661.56,Closed
PO_000060,VEN_0291,SKU_FIT_0041,2022-06-21,716,575835.84,Closed
PO_000061,VEN_0230,SKU_FIT_0042,2023-12-07,344,338568.24,Closed
PO_000062,VEN_0126,SKU_COI_0032,2023-07-23,695,1372916.9,Closed
PO_000063,VEN_0252,SKU_FAS_0049,2022-02-05,411,74243.04,Delayed
PO_000064,VEN_0257,SKU_SHE_0024,2022-02-02,886,2112312.6,Closed
PO_000065,VEN_0003,SKU_FIT_0042,2023-08-21,954,805719.78,Closed
PO_000066,VEN_0104,SKU_FIT_0044,2023-03-24,629,580472.65,Delayed
PO_000067,VEN_0227,SKU_FAS_0048,2022-07-21,122,31335.7,Delayed
PO_000068,VEN_0016,SKU_PIP_0014,2022-06-17,963,1730000.61,Closed
