Order_ID,SKU_ID,Customer_ID,Order_Date,Quantity_Ordered,Quantity_Delivered,Delivery_Date,Order_Status,Region
ORD_000001,SKU_PIP_0004,CUST_1938,2023-02-01,147,147,2023-02-09,Completed,North
ORD_000002,SKU_PIP_0004,CUST_1850,2022-07-16,57,0,,Cancelled,North
ORD_000003,SKU_PIP_0010,CUST_1866,2023-01-27,174,174,2023-02-07,Completed,West
ORD_000004,SKU_PIP_0009,CUST_1002,2023-06-04,254,254,2023-06-11,Completed,West
ORD_000005,SKU_PIP_0010,CUST_1469,2022-07-31,136,136,2022-08-12,Completed,West
ORD_000006,SKU_PIP_0014,CUST_1752,2023-03-14,291,291,2023-03-21,Completed,West
ORD_000007,SKU_FAS_0050,CUST_1478,2023-11-10,89,0,,Cancelled,North
ORD_000008,SKU_PIP_0001,CUST_1410,2023-02-26,87,87,2023-03-12,Completed,West
ORD_000009,SKU_PIP_0010,CUST_1375,2023-03-22,171,171,2023-03-27,Completed,South
ORD_000010,SKU_FIT_0038,CUST_1920,2023-07-17,50,50,2023-07-24,Completed,Mumbai
ORD_000011,SKU_FIT_0039,CUST_1984,2023-03-19,67,67,2023-03-30,Completed,West
ORD_000012,SKU_COI_0032,CUST_1972,2022-10-25,98,98,2022-11-05,Completed,West
ORD_000013,SKU_FIT_0042,CUST_1544,2022-01-25,124,24,2022-01-29,Pending,Mumbai
ORD_000014,SKU_COI_0031,CUST_1576,2023-03-31,281,0,,Cancelled,South
ORD_000015,SKU_SHE_0018,CUST_1687,2022-08-17,233,233,2022-08-22,Completed,South
ORD_000016,SKU_SHE_0018,CUST_1622,2022-03-29,121,121,2022-04-12,Completed,Mumbai
ORD_000017,SKU_PIP_0010,CUST_1343,2023-03-12,226,0,,Cancelled,South
ORD_000018,SKU_SHE_0026,CUST_1164,2022-06-10,190,190,2022-06-21,Completed,West
ORD_000019,SKU_FIT_0042,CUST_1915,2022-07-29,236,236,2022-08-10,Completed,East
ORD_000020,SKU_SHE_0016,CUST_1833,2022-05-20,73,73,2022-05-31,Completed,South
ORD_000021,SKU_FAS_0048,CUST_1005,2023-02-14,207,207,2023-02-19,Completed,Mumbai
ORD_000022,SKU_PIP_0003,CUST_1090,2023-09-08,172,172,2023-09-22,Completed,South
ORD_000023,SKU_PIP_0011,CUST_1108,2023-10-30,170,170,2023-11-07,Completed,West
ORD_000024,SKU_PIP_0002,CUST_1639,2022-10-09,347,347,2022-10-18,Completed,West
ORD_000025,SKU_PIP_0009,CUST_1544,2023-02-01,54,54,2023-02-07,Completed,Mumbai
ORD_000026,SKU_FIT_0041,CUST_1693,2023-01-01,227,54,2023-01-04,Pending,West
ORD_000027,SKU_COI_0032,CUST_1355,2022-09-12,192,192,2022-09-19,Completed,North
ORD_000028,SKU_PIP_0004,CUST_1011,2023-09-12,75,0,,Cancelled,Mumbai
ORD_000029,SKU_SHE_0021,CUST_1496,2022-08-25,243,243,2022-09-03,Completed,Mumbai
ORD_000030,SKU_SHE_0023,CUST_1635,2022-05-24,271,57,2022-05-28,Pending,Mumbai
ORD_000031,SKU_FIT_0042,CUST_1409,2022-10-27,245,245,2022-10-30,Completed,West
ORD_000032,SKU_PIP_0009,CUST_1524,2023-11-25,100,6,2023-11-27,Pending,South
ORD_000033,SKU_PIP_0013,CUST_1615,2023-09-10,158,158,2023-09-23,Completed,South
ORD_000034,SKU_FIT_0038,CUST_1836,2022-06-30,69,69,2022-07-11,Completed,Mumbai
ORD_000035,SKU_PIP_0010,CUST_1683,2023-01-12,192,192,2023-01-19,Completed,Mumbai
ORD_000036,SKU_SHE_0019,CUST_1182,2022-11-03,76,76,2022-11-09,Completed,South
ORD_000037,SKU_SHE_0016,CUST_2000,2022-10-08,343,343,2022-10-14,Completed,Mumbai
ORD_000038,SKU_PIP_0003,CUST_1521,2023-07-27,86,86,2023-08-01,Completed,North
ORD_000039,SKU_COI_0034,CUST_1105,2023-03-01,222,222,2023-03-15,Completed,South
ORD_000040,SKU_SHE_0016,CUST_1588,2023-09-20,118,118,2023-09-23,Completed,South
ORD_000041,SKU_SHE_0017,CUST_1368,2022-09-08,140,40,2022-09-10,Pending,South
ORD_000042,SKU_FAS_0049,CUST_1446,2022-10-21,260,260,2022-10-24,Completed,East
