Vendor_ID,Vendor_Name,SKU_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Quantity_Ordered,Quantity_Received,Unit_Price,Defect_Quantity,Payment_Terms
VEN_0001,Reliable Metals Ltd,SKU_COI_0035,2023-03-06,2023-03-18,2023-03-16,538,538,2643.52,4,Net 15
VEN_0002,Quality Issues Pvt,SKU_SHE_0020,2023-04-09,2023-04-29,2023-05-07,965,965,2400.24,54,Immediate
VEN_0003,Mumbai Metal Works,SKU_FIT_0042,2023-08-21,2023-09-01,2023-08-31,954,954,844.57,22,Net 60
VEN_0004,Defective Materials Co,SKU_FIT_0043,2022-09-07,2022-09-18,2022-09-16,212,212,529.91,15,Net 60
VEN_0005,Late Delivery Inc,SKU_FAS_0049,2023-08-03,2023-08-22,2023-08-28,960,960,198.13,24,Immediate
VEN_0006,Delayed Suppliers Pvt,SKU_PIP_0013,2023-10-09,2023-10-23,2023-10-23,300,300,1647.06,9,Net 60
VEN_0007,Premium Steel Co,SKU_FIT_0044,2023-08-31,2023-09-08,2023-09-08,996,996,954.12,6,Immediate
VEN_0008,Late Delivery Inc,SKU_COI_0028,2022-11-15,2022-12-03,2022-12-16,884,884,2460.53,19,Net 15
VEN_0009,Mumbai Metal Works,SKU_PIP_0015,2023-04-05,2023-04-24,2023-04-24,645,645,1223.81,10,Net 30
VEN_0010,Reliable Metals Ltd,SKU_PIP_0009,2022-11-11,2022-11-22,2022-11-21,987,987,1620.87,14,Net 30
VEN_0011,Steel Suppliers India,SKU_PIP_0013,2023-03-30,2023-04-16,2023-04-15,209,209,1661.96,1,Net 60
VEN_0012,Premium Steel Co,SKU_COI_0028,2022-03-28,2022-04-07,2022-04-06,830,830,2461.25,3,Net 15
VEN_0013,Late Delivery Inc,SKU_FAS_0050,2022-01-26,2022-02-11,2022-02-09,416,416,292.3,11,Net 30
VEN_0014,Delayed Suppliers Pvt,SKU_PIP_0013,2023-01-31,2023-02-16,2023-03-02,363,363,1578.9,7,Immediate
VEN_0015,Defective Materials Co,SKU_PIP_0003,2022-01-26,2022-02-06,2022-02-05,133,133,1107.7,14,Net 60
VEN_0016,Mumbai Metal Works,SKU_PIP_0014,2022-06-17,2022-06-30,2022-06-28,963,963,1796.47,6,Net 60
VEN_0017,Late Delivery Inc,SKU_PIP_0015,2022-02-22,2022-03-08,2022-03-20,691,691,1207.33,20,Net 45
VEN_0018,Delayed Suppliers Pvt,SKU_PIP_0013,2023-09-12,2023-09-29,2023-09-28,308,308,1578.27,11,Net 60
VEN_0019,Slow Logistics Ltd,SKU_PIP_0007,2022-10-17,2022-11-04,2022-11-05,476,476,1096.39,13,Net 15
VEN_0020,Mumbai Metal Works,SKU_COI_0035,2023-12-06,2023-12-22,2023-12-20,217,217,2345.93,6,Net 15
VEN_0021,Slow Logistics Ltd,SKU_SHE_0018,2022-10-04,2022-10-16,2022-10-16,568,568,2091.81,19,Net 60
VEN_0022,Late Delivery Inc,SKU_SHE_0022,2023-03-28,2023-04-05,2023-04-05,198,198,1543.41,1,Net 45
VEN_0023,Slow Logistics Ltd,SKU_SHE_0017,2022-12-31,2023-01-07,2023-01-05,720,720,2099.44,7,Immediate
VEN_0024,Late Delivery Inc,SKU_FAS_0047,2023-09-16,2023-09-23,2023-10-01,161,161,162.55,3,Immediate
VEN_0025,Mumbai Metal Works,SKU_COI_0030,2023-04-23,2023-04-30,2023-05-01,265,265,2690.9,7,Net 60
VEN_0026,Quality Issues Pvt,SKU_SHE_0020,2023-12-22,2023-12-29,2023-12-29,529,529,2617.2,14,Net 30
VEN_0027,Quality Issues Pvt,SKU_FAS_0050,2022-10-31,2022-11-19,2022-11-18,861,861,253.76,51,Net 15
VEN_0028,Slow Logistics Ltd,SKU_FIT_0038,2023-08-30,2023-09-19,2023-09-17,869,869,866.47,18,Immediate
VEN_0029,Mumbai Metal Works,SKU_FIT_0042,2022-12-19,2022-12-29,2022-12-29,736,736,918.89,20,Net 30
VEN_0030,Quick Steel Industries,SKU_COI_0034,2022-07-20,2022-08-01,2022-08-01,305,305,2402.41,3,Net 15
VEN_0031,Quality Issues Pvt,SKU_SHE_0017,2023-01-14,2023-01-31,2023-01-29,920,920,1992.17,24,Immediate
VEN_0032,Steel Suppliers India,SKU_COI_0037,2022-01-20,2022-01-29,2022-01-29,406,406,2797.12,7,Net 60
VEN_0033,Steel Suppliers India,SKU_PIP_0009,2023-02-19,2023-03-06,2023-03-04,133,133,1941.89,1,Net 15
VEN_0034,Quick Steel Industries,SKU_FIT_0041,2022-03-30,2022-04-09,2022-04-08,383,383,740.73,5,Immediate
VEN_0035,Reliable Metals Ltd,SKU_FAS_0048,2023-11-17,2023-11-24,2023-11-24,903,903,268.72,21,Net 60
VEN_0036,Steel Suppliers India,SKU_FAS_0046,2023-01-05,2023-01-14,2023-01-14,838,838,202.29,9,Net 30
VEN_0037,Steel Suppliers India,SKU_PIP_0013,2022-12-21,2022-12-30,2022-12-29,635,635,1521.88,5,Net 15
VEN_0038,Quality Issues Pvt,SKU_COI_0035,2022-07-15,2022-07-22,2022-07-21,758,758,2492.34,38,Immediate
VEN_0039,Defective Materials Co,SKU_SHE_0025,2022-12-28,2023-01-06,2023-01-06,275,275,1938.89,1,Immediate
VEN_0040,Quick Steel Industries,SKU_FIT_0044,2022-01-13,2022-01-25,2022-01-24,511,511,997.42,7,Immediate
VEN_0041,Quick Steel Industries,SKU_SHE_0021,2023-06-10,2023-06-25,2023-06-25,578,578,1475.26,15,Net 60
VEN_0042,Quality Issues Pvt,SKU_SHE_0020,2023-07-04,2023-07-13,2023-07-21,585,585,2615.04,14,Net 60
VEN_0043,Premium Steel Co,SKU_PIP_0010,2023-04-08,2023-04-22,2023-04-22,622,622,1604.45,3,Net 45
VEN_0044,Mumbai Metal Works,SKU_SHE_0026,2023-08-07,2023-08-18,2023-08-18,945,945,1978.96,20,Immediate
VEN_0045,Slow Logistics Ltd,SKU_SHE_0017,2023-09-15,2023-09-25,2023-09-23,583,583,2106.36,21,Net 30
VEN_0046,Quality Issues Pvt,SKU_FIT_0041,2022-02-05,2022-02-24,2022-02-23,354,354,788.89,7,Net 45
VEN_0047,Steel Suppliers India,SKU_SHE_0021,2023-04-09,2023-04-21,2023-05-04,425,425,1702.7,6,Immediate
VEN_0048,Steel Suppliers India,SKU_COI_0036,2023-02-21,2023-03-04,2023-03-02,801,801,2695.57,2,Immediate
VEN_0049,Delayed Suppliers Pvt,SKU_SHE_0017,2022-09-20,2022-10-07,2022-10-05,393,393,2039.19,14,Net 45
VEN_0050,Reliable Metals Ltd,SKU_SHE_0024,2023-11-24,2023-12-11,2023-12-09,107,107,2350.38,2,Net 45
VEN_0051,Delayed Suppliers Pvt,SKU_SHE_0016,2022-01-05,2022-01-13,2022-01-12,692,692,2756.22,33,Net 45
VEN_0052,Delayed Suppliers Pvt,SKU_FIT_0040,2022-07-26,2022-08-02,2022-07-31,739,739,931.89,14,Immediate
VEN_0053,Quick Steel Industries,SKU_PIP_0006,2022-03-11,2022-03-31,2022-03-29,542,542,2020.51,13,Net 45
VEN_0054,Reliable Metals Ltd,SKU_COI_0032,2022-05-09,2022-05-24,2022-05-24,467,467,2067.26,10,Net 30
